run_key,suite,scenario,demand,profile,controller_code,controller,seed,disturbance,network_profile,duration_s,warmup_s,selected_this_invocation
rapid-medium-b0-s42-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B0,fixed-time,42,none,N0,60.0,10.0,True
rapid-medium-b0-s123-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B0,fixed-time,123,none,N0,60.0,10.0,True
rapid-medium-b0-s2026-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B0,fixed-time,2026,none,N0,60.0,10.0,True
rapid-medium-b0-s3407-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B0,fixed-time,3407,none,N0,60.0,10.0,True
rapid-medium-b0-s9001-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B0,fixed-time,9001,none,N0,60.0,10.0,True
rapid-medium-b1-s42-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B1,actuated-control,42,none,N0,60.0,10.0,True
rapid-medium-b1-s123-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B1,actuated-control,123,none,N0,60.0,10.0,True
rapid-medium-b1-s2026-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B1,actuated-control,2026,none,N0,60.0,10.0,True
rapid-medium-b1-s3407-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B1,actuated-control,3407,none,N0,60.0,10.0,True
rapid-medium-b1-s9001-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B1,actuated-control,9001,none,N0,60.0,10.0,True
rapid-medium-b2-s42-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B2,max-pressure,42,none,N0,60.0,10.0,True
rapid-medium-b2-s123-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B2,max-pressure,123,none,N0,60.0,10.0,True
rapid-medium-b2-s2026-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B2,max-pressure,2026,none,N0,60.0,10.0,True
rapid-medium-b2-s3407-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B2,max-pressure,3407,none,N0,60.0,10.0,True
rapid-medium-b2-s9001-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B2,max-pressure,9001,none,N0,60.0,10.0,True
rapid-medium-b3-s42-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B3,coordinated-max-pressure,42,none,N0,60.0,10.0,True
rapid-medium-b3-s123-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B3,coordinated-max-pressure,123,none,N0,60.0,10.0,True
rapid-medium-b3-s2026-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B3,coordinated-max-pressure,2026,none,N0,60.0,10.0,True
rapid-medium-b3-s3407-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B3,coordinated-max-pressure,3407,none,N0,60.0,10.0,True
rapid-medium-b3-s9001-none-n0-d60-w10,rapid,xiongan_rongdong_20,Medium,S03,B3,coordinated-max-pressure,9001,none,N0,60.0,10.0,True
