suite,baseline,controller,metric,n_pairs,baseline_mean,controller_mean,improvement_percent,paired_t_p,wilcoxon_p
rapid,B0,B1,average_speed_m_s,5,8.559798445858132,8.559798445858132,0.0,nan,1.0
rapid,B0,B1,avg_queue_vehicles,5,3.508,3.508,0.0,nan,1.0
rapid,B0,B1,co2_mg,5,1784009.8769340732,1784009.8769340732,0.0,nan,1.0
rapid,B0,B1,completed_trips,5,0.0,0.0,NA,nan,1.0
rapid,B0,B1,fuel_mg,5,576951.6312775529,576951.6312775529,0.0,nan,1.0
rapid,B0,B1,max_queue_vehicles,5,7.4,7.4,0.0,nan,1.0
rapid,B0,B1,p95_queue_vehicles,5,7.219999999999999,7.219999999999999,0.0,nan,1.0
rapid,B0,B1,throughput_veh_h,5,0.0,0.0,NA,nan,1.0
rapid,B0,B2,average_speed_m_s,5,8.559798445858132,8.559798445858132,0.0,nan,1.0
rapid,B0,B2,avg_queue_vehicles,5,3.508,3.508,0.0,nan,1.0
rapid,B0,B2,co2_mg,5,1784009.8769340732,1784009.8769340732,0.0,nan,1.0
rapid,B0,B2,completed_trips,5,0.0,0.0,NA,nan,1.0
rapid,B0,B2,fuel_mg,5,576951.6312775529,576951.6312775529,0.0,nan,1.0
rapid,B0,B2,max_queue_vehicles,5,7.4,7.4,0.0,nan,1.0
rapid,B0,B2,p95_queue_vehicles,5,7.219999999999999,7.219999999999999,0.0,nan,1.0
rapid,B0,B2,throughput_veh_h,5,0.0,0.0,NA,nan,1.0
rapid,B0,B3,average_speed_m_s,5,8.559798445858132,8.59953010065457,0.46416577502083783,0.5014344980423451,0.625
rapid,B0,B3,avg_queue_vehicles,5,3.508,3.468,1.1402508551881425,0.5083296622422167,1.0
rapid,B0,B3,co2_mg,5,1784009.8769340732,1787395.6185165998,-0.18978267028124252,0.02398091041410834,0.0625
rapid,B0,B3,completed_trips,5,0.0,0.0,NA,nan,1.0
rapid,B0,B3,fuel_mg,5,576951.6312775529,578049.2579467474,-0.19024587325699058,0.02397684921650443,0.0625
rapid,B0,B3,max_queue_vehicles,5,7.4,7.4,0.0,nan,1.0
rapid,B0,B3,p95_queue_vehicles,5,7.219999999999999,7.219999999999999,0.0,nan,1.0
rapid,B0,B3,throughput_veh_h,5,0.0,0.0,NA,nan,1.0
