demo_id,arm,geometry_source,evidence_length_m,modeled_length_m,sumo_effective_in_m,sumo_effective_out_m,adjustment_type,length_confidence,cutoff_reason
1,N,organizer_official_sumo_reference,101.28,101.28,90.17,90.17,none,high,organizer_official_sumo_boundary
1,E,organizer_official_sumo_reference,76.92,76.92,62.83,62.83,none,high,organizer_official_sumo_boundary
1,S,organizer_official_sumo_reference,80.71,80.71,69.53,69.53,none,high,organizer_official_sumo_boundary
1,W,organizer_official_sumo_reference,74.17,74.17,60.02,60.02,none,high,organizer_official_sumo_boundary
2,N,organizer_official_sumo_reference,66.96,66.96,56.8,56.8,none,high,organizer_official_sumo_boundary
2,S,organizer_official_sumo_reference,71.59,71.59,60.34,60.34,none,high,organizer_official_sumo_boundary
2,W,organizer_official_sumo_reference,76.89,76.89,68.21,68.21,none,high,organizer_official_sumo_boundary
3,N,organizer_official_sumo_reference,66.04,66.04,53.68,53.68,none,high,organizer_official_sumo_boundary
3,E,organizer_official_sumo_reference,64.36,64.36,54.12,54.12,none,high,organizer_official_sumo_boundary
3,S,organizer_official_sumo_reference,74.98,74.98,62.94,62.94,none,high,organizer_official_sumo_boundary
3,W,organizer_official_sumo_reference,70.86,70.86,61.04,61.04,none,high,organizer_official_sumo_boundary
4,N,organizer_official_sumo_reference,61.92,61.92,50.99,50.99,none,high,organizer_official_sumo_boundary
4,E,organizer_official_sumo_reference,81.1,81.1,70.17,70.17,none,high,organizer_official_sumo_boundary
4,S,organizer_official_sumo_reference,71.45,71.45,60.78,60.78,none,high,organizer_official_sumo_boundary
4,W,organizer_official_sumo_reference,49.92,49.92,39.25,39.25,none,high,organizer_official_sumo_boundary
5,E,checked_in_osm_extract,79.17,250.0,239.12,239.12,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
5,S,checked_in_osm_extract,275.21,250.0,239.11,239.11,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
5,W,checked_in_osm_extract,64.58,250.0,240.12,240.12,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
6,N,checked_in_osm_extract,962.63,250.0,238.81,238.81,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
6,E,checked_in_osm_extract,285.42,250.0,238.98,238.63,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
6,S,checked_in_osm_extract,305.82,250.0,239.23,239.23,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
6,W,checked_in_osm_extract,164.65,250.0,239.66,239.73,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
7,N,checked_in_osm_extract,75.11,250.0,242.13,242.9,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
7,E,checked_in_osm_extract,10275.8,250.0,242.52,242.52,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
7,S,checked_in_osm_extract,144.86,250.0,242.52,242.52,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
7,W,checked_in_osm_extract,1947.22,250.0,242.5,242.55,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
8,N,checked_in_osm_extract,1071.82,250.0,237.21,234.18,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
8,E,checked_in_osm_extract,2136.53,250.0,237.26,236.86,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
8,S,checked_in_osm_extract,11.88,250.0,235.49,235.49,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
8,W,checked_in_osm_extract,19.04,250.0,237.08,237.08,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
9,N,checked_in_osm_extract,3363.7,250.0,239.89,239.44,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
9,E,checked_in_osm_extract,2333.37,250.0,239.32,239.32,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
9,S,checked_in_osm_extract,1008.82,250.0,238.93,239.72,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
9,W,checked_in_osm_extract,12.33,250.0,239.36,239.36,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
10,E,checked_in_osm_extract,114.95,250.0,244.19,244.19,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
10,S,checked_in_osm_extract,168.24,250.0,243.17,243.17,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
10,W,checked_in_osm_extract,157.6,250.0,243.17,243.17,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
11,N,checked_in_osm_extract,26.23,250.0,239.2,239.2,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
11,E,checked_in_osm_extract,14.29,250.0,242.92,242.92,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
