demo_id,provenance_class,official_sumo_reference,lane_evidence_method,lane_confidence,lane_counts_match_evidence,lane_configuration_status,lane_configuration_traceable,workbook_source_consistent,geometry_adjustment_count,structurally_valid,profiles_cleared
1,organizer_excel_png_official_sumo_reference_model,True,organizer_official_sumo,high,True,exact_registry_match,True,True,0,True,2
2,organizer_excel_png_official_sumo_reference_model,True,organizer_official_sumo,high,True,exact_registry_match,True,True,0,True,0
3,organizer_excel_png_official_sumo_reference_model,True,organizer_official_sumo,high,True,exact_registry_match,True,True,0,True,3
4,organizer_excel_png_official_sumo_reference_model,True,organizer_official_sumo,high,True,exact_registry_match,True,True,0,True,1
5,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,True,3,True,2
6,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,False,4,True,3
7,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,False,4,True,0
8,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,True,4,True,1
9,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,True,4,True,3
10,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,high,True,exact_registry_match,True,True,3,True,0
11,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,False,4,True,0
12,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,True,exact_registry_match,True,False,4,True,1
13,organizer_excel_png_plus_osm_modeled_sumo,False,official_png_visual_interpretation,medium,False,explicit_reviewed_override,True,True,3,True,1
14,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,False,explicit_reviewed_override,True,True,3,True,0
15,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,True,exact_registry_match,True,False,4,True,2
16,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,True,exact_registry_match,True,False,4,True,2
17,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,True,exact_registry_match,True,False,3,True,2
18,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,True,exact_registry_match,True,False,4,True,1
19,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,True,exact_registry_match,True,False,4,True,2
20,organizer_excel_png_plus_osm_modeled_sumo,False,teammate_template_retained,low,True,exact_registry_match,True,True,4,True,1
