demo_id,profile,expected_demand,generated_demand,flow_intervals_exact,signal_components_exact,theme_gui_exact,source_profile_consistent,loaded,tripinfo_count,final_running,final_waiting,demand_conservation,all_vehicles_cleared,collisions,teleports,sumo_exit_code
1,am_peak,3998,3998,True,True,True,True,3998,3998,0,0,True,True,0,0,0
1,offpeak,2525,2525,True,True,True,True,2525,2525,0,0,True,True,0,0,0
1,pm_peak,4592,4592,True,True,True,True,4592,4552,8,32,True,False,0,0,0
2,am_peak,2761,2761,True,True,True,True,2761,2007,8,746,True,False,0,0,0
2,offpeak,1502,1502,True,True,True,True,1502,1404,8,90,True,False,0,0,0
2,pm_peak,2299,2299,True,True,True,True,2299,1786,8,505,True,False,0,0,0
3,am_peak,3134,3134,True,True,True,True,3134,3134,0,0,True,True,0,0,0
3,offpeak,1257,1257,True,True,True,True,1257,1257,0,0,True,True,0,0,0
3,pm_peak,2824,2824,True,True,True,True,2824,2824,0,0,True,True,0,0,0
4,am_peak,3413,3413,True,True,True,True,3413,1841,25,1547,True,False,0,0,0
4,offpeak,1999,1999,True,True,True,True,1999,1999,0,0,True,True,0,0,0
4,pm_peak,4073,4073,True,True,True,True,4073,810,28,3235,True,False,0,0,0
5,am_peak,2438,2438,True,True,True,True,2438,2438,0,0,True,True,0,0,0
5,offpeak,1988,1988,True,True,True,True,1988,1988,0,0,True,True,0,0,0
5,pm_peak,4038,4038,True,True,True,True,4038,3898,30,110,True,False,0,0,0
6,am_peak,4455,4455,True,True,True,False,4455,4455,0,0,True,True,0,0,0
6,offpeak,3210,3210,True,True,True,False,3210,3210,0,0,True,True,0,0,0
6,pm_peak,4909,4909,True,True,True,False,4909,4909,0,0,True,True,0,0,0
7,am_peak,2950,2950,True,True,True,False,2950,2446,25,479,True,False,0,0,0
7,offpeak,1990,1990,True,True,True,True,1990,1932,26,32,True,False,0,0,0
7,pm_peak,4140,4140,True,True,True,True,4140,2832,64,1244,True,False,0,0,0
8,am_peak,5090,5090,True,True,True,True,5090,5068,22,0,True,False,0,0,0
8,offpeak,3636,3636,True,True,True,True,3636,3636,0,0,True,True,0,0,0
8,pm_peak,5454,5454,True,True,True,True,5454,5381,27,46,True,False,0,0,0
9,am_peak,3140,3140,True,True,True,True,3140,3140,0,0,True,True,0,0,0
9,offpeak,1260,1260,True,True,True,True,1260,1260,0,0,True,True,0,0,0
9,pm_peak,2822,2822,True,True,True,True,2822,2822,0,0,True,True,0,0,0
10,am_peak,3609,3609,True,True,True,True,3609,2577,32,1000,True,False,0,0,0
10,offpeak,1884,1884,True,True,True,True,1884,1570,32,282,True,False,0,0,0
10,pm_peak,3711,3711,True,True,True,True,3711,2914,32,765,True,False,0,0,0
11,am_peak,5962,5962,True,True,True,True,5962,3154,192,2616,True,False,0,0,0
11,offpeak,5180,5180,True,True,True,False,5180,3385,71,1724,True,False,0,0,0
11,pm_peak,6881,6881,True,True,True,False,6881,3086,188,3607,True,False,0,0,0
12,am_peak,5013,5013,True,True,True,True,5013,4916,65,32,True,False,0,0,0
12,offpeak,1906,1906,True,True,True,False,1906,1906,0,0,True,True,0,0,0
12,pm_peak,4412,4412,True,True,True,False,4412,4396,16,0,True,False,0,0,0
13,am_peak,3087,3087,True,True,True,True,3087,2776,31,280,True,False,0,0,0
13,offpeak,2750,2750,True,True,True,True,2750,2750,0,0,True,True,0,0,0
13,pm_peak,3786,3786,True,True,True,True,3786,3255,31,500,True,False,0,0,0
14,am_peak,3406,3406,True,True,True,True,3406,2419,64,923,True,False,0,0,0
14,offpeak,2792,2792,True,True,True,True,2792,1874,32,886,True,False,0,0,0
14,pm_peak,3644,3644,True,True,True,True,3644,2005,64,1575,True,False,0,0,0
15,am_peak,5878,5878,True,True,True,True,5878,5878,0,0,True,True,0,0,0
15,offpeak,5281,5281,True,True,True,False,5281,5281,0,0,True,True,0,0,0
15,pm_peak,6405,6405,True,True,True,False,6405,6285,28,92,True,False,0,0,0
16,am_peak,4992,4992,True,True,True,False,4992,4992,0,0,True,True,0,0,0
16,offpeak,4664,4664,True,True,True,False,4664,4528,27,109,True,False,0,0,0
16,pm_peak,4792,4792,True,True,True,False,4792,4792,0,0,True,True,0,0,0
17,am_peak,2939,2939,True,True,True,True,2939,2939,0,0,True,True,0,0,0
17,offpeak,2012,2012,True,True,True,False,2012,2012,0,0,True,True,0,0,0
17,pm_peak,3912,3912,True,True,True,True,3912,3654,32,226,True,False,0,0,0
18,am_peak,4953,4953,True,True,True,True,4953,4953,0,0,True,True,0,0,0
18,offpeak,5474,5474,True,True,True,False,5474,5354,34,86,True,False,0,0,0
18,pm_peak,6598,6598,True,True,True,False,6598,6448,51,99,True,False,0,0,0
19,am_peak,3313,3313,True,True,True,True,3313,3313,0,0,True,True,0,0,0
19,offpeak,2278,2278,True,True,True,False,2278,2278,0,0,True,True,0,0,0
19,pm_peak,4873,4873,True,True,True,False,4873,4712,29,132,True,False,0,0,0
20,am_peak,2633,2633,True,True,True,True,2633,2626,7,0,True,False,0,0,0
20,offpeak,1041,1041,True,True,True,True,1041,1041,0,0,True,True,0,0,0
20,pm_peak,2361,2361,True,True,True,True,2361,2331,30,0,True,False,0,0,0
